Title,Жанры,Описание,img
",   () / Hayate the Combat Butler! Heaven is a Place on Earth [Movie] [RUS(int), JAP+Sub] [2011, ,, DVDRip]","Приключения, комедия",,1644
"-15 / R-15 [TV] [12  12] [RUS(int), JAP] [2011, , , , DTVRip]","комедия, школа, эччи","Эта история про одного мальчика, который в своём юном возрасте пишет хентайные истории. Учится он в ""Академии Вдохновение"", где у него есть пара хороших друзей, но девчонки всё же смотрят на него косо и с призрением, из-за его увлечения. Он начинает писать свои рассказы на ходу, как только увидит что-то сексуальное... Но как и во всех эпичных историях есть девушка, про которую он не может написать ничего пошлого, а только что-то прекрасное и сам того не понимает почему... В общем с 1ой серии авторы показывают нам его далеко не скучную жизнь!",1645
" 23 OVA-2 / Megazone 23 Part 2 ( ) [OVA] [JPN, ENG+Sub] [1986, , , ,","фантастика, меха, приключения",,1646
"    / Suisei no Gargantia / Gargantia on the Verdurous Planet ( ) [TV] [01-13  13] [JAP+Sub] [2013, ,",,,1647
" / The Cockpit ( ) [jap+Sub] [1993, , , ]","история, драма, война","На основе трёх историй манги Battlefield Лэйдзи Мацумото (Leiji Matsumoto). Условие мангаки было таково, чтобы аниме не носило то же название, что и манга. Каждый из трёх эпизодов снимался на разных студиях.",1648
"  / Morita-san Wa Mukuchi ( ) [OVA] [RUS(int), JAP+Sub] [2011, , DVDRip]",комедия,"Маю Морита - настоящая тихоня. Обычно она молча наблюдает за одноклассниками, никогда не отвечает на вопросы, слывёт странной девочкой и неправильно воспринимает то, что ей говорят, весьма впечатлительная особа. Но она не немая и не очень стеснительная, просто Маю слишком серьёзно относится к любым вопросам и долго обдумывает ответ. Естественно, собеседник уже и без помощи Мориты находит решение. Правда, и подружки у молчаливой Маю не промах, ведь они всё понимают и без слов.",1649
"   [1999, , ть] от Aniboters]  Aniboters","комедия, повседневность","Представлена обычная жизнь обычной японский семьи - и это особенно интересно в плане познания японской культуры. Некоторые сюжеты забавны, некоторые - напротив, грустны и печальны. Жизнь как она есть. Она бывает разная.",1650
"-:  / El Hazard ( )[TV] [26  26] [RUS(int)] [1995, ,, , , DVDRip]","приключения, комедия, романтика, фэнтези","Завистливый и мнительный Дзиннай пытается саботировать машину, изобретенную Макото Мидзухарой, в результате чего персонажи переносятся в таинственный мир Эль-Хазард. Герои делают первые шаги в незнакомой вселенной, почти моментально оказываясь в центре водоворота захватывающих и опасных приключений.
",1651
" / Panzer World Galient / Kikou Kai Galient [TV] [25  25] [JAP+Sub] [1984, ,, , DVDRemux]","приключения, фантастика, меха","Действие происходит в далёком мире на планете Арст. Главный герой, король Джорди Волдер, борется с армией завоевателя Мардера, используя легендарного гигантского робота «Галиента», одной из многих машин, которые вот уже тысячелетиями хранились в глубоких недрах земли, оставленные неизвестной цивилизацией. Мардер и его армия также используют меха-роботов, чтобы завоевать всё королевство, а позже и всю галактику полумесяца.",1652
"  / Hajime no Ippo: The Fighting! Rising ( ) [TV] [25  25] [JAP+Sub] [2013, , WEBRip]",,,1653
":    / Ultraman: Chou Toushi Gekiden - Suisei Senjin Tsuifon Toujou / :    [OVA] [JAP+Sub] [1996, ,",приключения,"С севера галактики страшная угроза, бог-воин комет Цуйфон, быстро приближается к Земле, уничтожая все на своем пути. Там его ждет Боец Ультрачеловек, легендарный защитник планеты, и вот-вот начнется смертельная битва.",1654
" !   /  !   / Fullmetal Panic! Owaru Day By Day / Full Metal Panic! The Second Raid [TV] [13  13] [JAP+Sub] [2005, ,, , , DVDRip]","комедия, меха, боевик, сёнэн",,1655
"   / Kaze o Mita Shounen / The Boy Who Saw the Wind [Movie] [JAP, RUS(int)] [2000, ,риключения, драма, DVDRip], , DVDRip]","фантастика,приключения, драма",,1656
"ть / Мелочи Жизни / Nichijou / My Ordinary Life [OVA] [RUS(int), JAP+Sub] [2011, Комедия, Повседневность, DVDRip] /   / Nichijou / My Ordinary Life [OVA] [RUS(int), JAP+Sub] [2011, , ть, DVDRip], DVDRip]","Комедия, Повседневность","Школьные годы чудесные… Пора юной жизни, когда необычное кроется в повседневном, океан видится в капле воды, и каждый день происходит что-то новое. Так и текут будни ребят и девчат из некоей старшей школы в совершенно нормальном городке: вот только одна из героинь - робот с огромным заводным ключом в спине, другой ездит в школу на белом… козле, а третья достает пистолеты и пулеметы прямо из воздуха. И каждое событие из жизни главных героев - от поедания домашнего обеда до сдачи экзаменов – может в одночасье превратиться в проблему всеяпонского или даже мирового масштаба!",1657
"    ! / SekaTsuyo / Sekai de Ichiban Tsuyoku Naritai! ( ) [TV+Special] [12+00  12+06] [JAP+Sub] [2013, , , , WEBRip]",,,1658
"  / Rean no Tsubasa / Wings of Rean [OVA] [6  6] [] [RUS(int), JAP] [2005, ,, , DVDRip]","Приключения, фантастика, меха",,1659
" .     / Dangard Ace - The Great Naval War in Space / Wakusei Robo Danguard Ace: Uchuu Daikaisen [Movie] [JAP+Sub] [1978, ,,  VHSRip]","приключения, фантастика, меха","В этом фильме, являющемся ответвлением основного сериала, команда Джасдама сходится в смертельной схватке с армией профессора Допплера",1660
" ! / Rokudenashi Blues / Good-For-Not  /   [Movie] [JAP+Sub] [1992, , , VHSRip]","комедия, драма","Маэда Тайсон со своими друзьями Юнэдзи и Кацудзи переводится в старшую школу Тэйкэн. Со временем они знакомятся с разными учениками и учителями, своей и других школ, переживают горестные и радостные моменты школьной жизни. А все это время Маэда стремится стать чемпионом мира по боксу.",1661
"  / Shura no Toki: Age of Chaos ( ) [TV][26  26][JAP+Sub] [2004, ,  ,  , ]","история, боевые искусства, самурайский боевик, сёнэн","Фильм как бы состоит из 2-х частей, сперва повествуется рассказ о лучшем Самурае японии, его сражении с мастером боевых исскуств не используещего мечи, а 2-я часть о событиях 20 лет спустя...",1662
" —    / Yuri Seijin Naoko-san [OVA] [JAP+Sub] [2010, , DVDRip]",комедия,"Скромная девочка Мисузу решив встретить возвращающуюся с учёбы за границей кузину, нарвалась вместо неё на её тёзку — инопланетянку Наоко с планеты Лесбияния — большую любительницу девочек... особенно маленьких. Жить после этого наша героиня стала пусть и неспокойно, но весьма весело...",1663
"   / Read or Die [OVA] [3  3] [RUS(int),JAP,, , , DVDRip]","Приключения, мистерия, драма, фантастика","Похоже, кто-то пытается заполучить несколько редких текстов за подписью Бетховена - и на стороне таинственного похитителя выступает ряд весьма леди и джентльменов мировой истории. Но только спокойствие! Молодая школьная учительница Йомико Ридман, обладательница сверхъестественных способностей и консультант спецподразделения по борьбе с потусторонними силами, преследует именитых злоумышленников по всему миру - от улочек Токио, до отмелей Ганга и статуи Свободы в Нью-Йорке!",1664
"    / Fairy Tail ( ) [TV][001-100  175][RUS(int),JAP,, , , DTVRip]","приключения, фэнтези, комедия, сёнэн","В королевстве Фиоре признанные маги объединены в множество гильдий, но для молодой «небесной волшебницы» Люси Хартфилии существует только одна – легендарная Фейри Тейл, куда она стремится попасть с начала сознательной жизни. Эта гильдия славится как силой и способностями своих магов, так и их экстравагантностью и бесконечным соперничеством между собой. В итоге магическое лекарство иногда оказывается хуже болезни, но такова жизнь! Вот только все знают, что Фейри Тейл – гильдия закрытая и малочисленная, для вступления нужно поручительство кого-то из членов, так что Люси, дочь лорда, оставляет семью и пускается в долгое путешествие.",1665
" / Momokuri /    ( ) [ONA] [01  12] [JAP+Sub] [2015, , , ть, WEBRip], WEBRip]","комедия, романтика, повседневность","Юки Курихара наконец-то достигла цели: начала встречаться с парнем своей мечты по имени Момо. На первый взгляд Юки - обычная девушка, пусть и очень хорошенькая, но на самом деле она маньячка с фиксацией на Момо: записывает все его действия и никогда не упускает случая застать его в какой-нибудь «милый момент». Сам же Момо - всего лишь неопытный в романтических вопросах парень, который просто хочет радовать Юки.",1666
" !  / Makeru na! Makendo ( ) [OVA] [JAP+Sub] [1995, , , -, DVDRip]","Комедия, пародия, махо-сёдзё","По сути это лёгкая пародия над махосёдзе с героической фантастикой. Повествует она про беглого киборга, первым делом прибившего своего создателя (чем не чудище Франкенштейна?) и заслуженную махосёдзе в отставке, которой уже надоело подрабатывать охотницей на монстров. Конечно, Злого Гения так просто не убьёшь, киборг напротив - на поверку весь из себя положительный, просто зациклен на идее возвращения своего первоначального облика, ну а у зрелой махосёдзе есть боевитая сестрёнка, которая совсем не прочь помахать магическим жезлом, благо синелицый детектив из Демонического Мира таковой с собой приволок. В результате получается этакий переплетённый клубок интересов, который в конце ОВАшки вполне предсказуемо разрубается объединившимися героями, а зло получает очередного пинка и драпает без оглядки.",1667
"  / Death Parade [TV] [1  12] [RUS(ext), JAP+Sub] [2015, ,",приключения,"Сейчас вам предстоит сыграть в игру. Что это будет за игра - решит рулетка. Ставкой в игре будет ваша жизнь. После смерти, люди, погибшие одновременно, попадают в Квин Деким, где им предстоит сыграть в игру. Но на самом деле, то, что с ними здесь происходит, это Суд Небесный.",1668
"  / Maria†Holic / Maria Holic ( ) [TV][12  12][RUS(int),JAP, -, TVRip]","комедия, сёдзё-ай","У застенчивой и нескладной Канако Миямаэ аллергия на мужчин – вплоть до появления настоящей сыпи. Поэтому Канако с радостью переводится в частную женскую академию «Небесные королевы», где училась ее мать, и где она сама надеется встретить (что уж греха таить) свою избранницу и предаться чистой девичьей любви. Но надо же было так заблудиться, что посреди огромного парка новая ученица встречает светловолосую «принцессу» Марию Сидо в сопровождении служанки. В завязавшемся разговоре Канако, очарованная новой знакомой, внезапно получает на прощание жаркий поцелуй. Вся в радужных надеждах, Миямаэ наскоро знакомится со старостой общежития, потом с соседкой по комнате и спешит обратно к Марии, которая обещала показать ей школу. Без задней мысли ворвавшись в раздевалку стрелкового клуба, Канако вдруг окунается в мир кошмаров… ее мечта оказалась парнем!",1669
"  / Maria Holic ( ) [TV][12  12][RUS(int), JAP][2009, , -, TVRip]","Комедия, сёдзё-ай",,1670
"  :   / Maria Holic Alive ( ) [TV] [12  12] [JAP+Sub] [2011, , HDTVRip]",комедия,"У застенчивой и нескладной Канако Миямаэ аллергия на мужчин – вплоть до появления настоящей сыпи. Поэтому Канако с радостью переводится в частную женскую академию «Небесные королевы», где училась ее мать, и где она сама надеется встретить (что уж греха таить) свою избранницу и предаться чистой девичьей любви. Но надо же было так заблудиться, что посреди огромного парка новая ученица встречает светловолосую «принцессу» Марию Сидо в сопровождении служанки. Мария соответствует всем критериям идеальной девушки для Канако, кроме одного маленького недостатка: Мария - переодетый парень.",1671
":    / Daphne in the Brilliant Blue ( ) (26  26) (TV) [JAP+RUS+5.1/RUS+Sub] [2004, ,, , , DVDRip]","Приключения, комедия, фантастика, этти","Очаровательные ""Нереиды"" возьмутся за самые сложные дела — лишь бы цена была подходящей! Но раз за разом отряд сталкивается со всё более тяжелыми заданиями на грани невыполнимого. Хладнокровная Ю теряет самообладание, Сидзука влюбляется, подлодку пытаются украсть бандиты, а вернувшиеся к Майе воспоминания очень беспокоят Агентство...",1672
" / Go! Go! Ackman [OVA] [JAP+Sub] [1994, ,, , VHSRip]","приключения, комедия, фэнтези","Ребенок-демон по имени Акман собирает души за деньги, пока его преследует самодовольный Ангел с чертовской неудачей.",1673
" ()   / Yuri on ice / Yuri!!! on ICE [TV] [12  12] [RUS(int), ENG, JAP+Sub] [2016, , , WEBRip]","Спорт, Комедия","Трудно не упасть на колени, когда несешь на плечах надежды целой страны. Сокрушительные поражения бывают даже в фигурном катании. И Юри Кацуки, двадцатитрехлетний фигурист, представляющий Японию на финале Гран-при по озвученному выше виду спорта, в полной мере узнает об этом, когда допускает ошибку в самый ответственный момент.",1674
" / Zegapain [JAP+Sub] [2006, ,, , , DVDRip]","приключения, фантастика, меха, драма",,1675
" 9,18 +  &   / Chobits 9,18 + OVA & Chibits Special ( ) () [JAP, ENG, RUS+Sub] [2004, романтика, комедия, фантастика, этти, DVDRip], , , , DVDRip]","романтика, комедия, фантастика, эротика",,1676
"   / Legend of Basara [TV] [13  13] [JAP+Sub] [1998, ,, , , DVDRip]","Приключения, драма, романтика, фэнтези","В небольшой деревушке рождаются близнецы: мальчик, получивший имя Татара, и девочка, которой дают имя Сараса. Провидец Наги объявляет, что Татара - избранный, тот, кто освободит Японию от тирании Короля и его четырех сыновей. Но когда по приказу злобного Красного Короля Татару убивают, Сараса принимает имя брата и его обязанность отправиться в путешествие во имя освобождения своей страны, в надежде отомстить за брата.",1677
" :    / Dr. Slump Movie 04: Arale-chan Hoyoyo! Nanaba Shiro no Hihou / Dr. Slump and Arale-chan: Hoyoyo! The Treasure of Nanaba Castle [Movie] [JAP+Sub] [1984, , , DVDRip]","Комедия, Фантастика","1929: во время экспедиции в горы Химаяны граф Норимакей Сенбей находит легендарное сокровище из королевства Нанаба: Радужное Око. Говорят, что этот камень исполняет любое желание своего владельца. Чтобы помочь нуждающимся, банда Хойойо решает украсть его, но оказывается, что они не одни такие. Потомок королевской семьи Нанаба, Бисуна, первым крадёт Око и скрывается вместе с ним. Конечно, он хочет использовать его для своих гнусных целей... Банда Хойойо не потерпит такого, погоня начинается...",1678
"   - -   (аниме) / Dr. Slump: Arale-chan no Koutsuu Anzen & Penguin Mura no Shouboutai / Dr. Slump & Arale-chan - Safety Education Anime [Special] [3 из 3] [JAP+Sub] [1983, Комедия, Фантастика, VHSRip]) / Dr. Slump: Arale-chan no Koutsuu Anzen & Penguin Mura no Shouboutai / Dr. Slump & Arale-chan - Safety Education Anime [Special] [3  3] [JAP+Sub] [1983, , , VHSRip]","Комедия, Фантастика",Безопасность на дороге с Арале-чан — правила безопасности при переходе улицы по пешеходному переходу.,1679
" / Mahoraba ~Heartful days~ ( ) [TV] [26  26] [RUS(int), JAP+Sub] [2005, , , , DVDRip]","комедия, романтика, школа",,1680
"  / Macademi Wasshoi! / The Magician's Academy ( ) [TV][12  12][JAP+Sub][2008, , , , , DVDRip]","Комедия, Романтика, Фэнтези, Этти",r/>,1681
"   / Kyouran Kazoku Nikki ( ) [TV] [26  26] [] [JAP+Sub] [2008, , , DTVRip]","комедия, фэнтези","Мидарэдзаки Ока, бригадный капитан первого отдела Бюро контроля паранормальных явлений Японской Империи, задерживает на улице маленькую нэку-воровку по имени Кёко. У нее есть хвост, ушки, ошейник с бубенчиком и сатанинское самомнение. Но когда он доставляет паранормальную нарушительницу спокойствия в штаб-квартиру Бюро контроля, начальство извещает его, что его долг – спасти Землю и землян... путем женитьбы на Кёко-сама!",1682
":  Турнир / Saki: Zenkoku Hen (Оно Манабу) [TV] [13 из 13] [JAP+Sub] [2014, комедия, WEBRip] / Saki: Zenkoku Hen ( ) [TV] [13  13] [JAP+Sub] [2014, , WEBRip]",,,1683
"   / Hand Maid May [TV] [1-11  11][][RUS(int),JAP, , , , DVDRip]","комедия, романтика, этти, фантастика","Сатоме Казуя — студент престижного университета Osza no Mizu Industries, которому никогда не везло с лицами женского пола. Его соседка — миловидная девушка постоянно пытается обратить на себя его внимание, но он этого не замечает. К тому же он полностью погружён в свою работу по созданию робота-спрута, использующего улучшенный искусственный интеллект. Но однажды его бурный конкурент дал ему странный диск с вирусом, предназначенным для того, чтобы убить его компьютер и уничтожить всю его работу. Но вместо этого сидюк отправляет его на сайт, где он случайно заказывает Мэй — девушку-робота, для работы по дому.",1684
" :  4 / Dragon Quest Saga : The Crest of Roto / Dragon Quest Retsuden: Roto no Monshou [Movie] [JAP+Sub] [1996, ,, VHSRip]","Приключения, фентези","Рассказ про маленького семилетнего парнишу, Арусу. Его постоянно задирают другие ребета и обзывают трусом. Но на самом деле это не так, ведь Арусу предстоит стать настоящим героем....",1685
"  / Strike Witches [TV] [12  12] [RUS(int),JAP,, , BDRip]","риключения, фантастика, этти",,1686
"-ессы (ТВ-1) / Sister Princess (Охата Киётака) [TV] [26 из 26] [RUS(int), JAP+Sub] [2001, комедия, драма, романтика, повседневность, DVDRip] (-1) / Sister Princess ( ) [TV] [26  26] [RUS(int), JAP+Sub] [2001, , , , ть, DVDRip], DVDRip]","комедия, драма, романтика, повседневность","Ватару Минаками провалился на вступительных экзаменах. Он так старался, он был так уверен в победе... он даже не попробовал подать документы в другие ВУЗы!.. и вот – бесславный конец. Ватару отвержен и одинок. Его соученики – студенты, а он неудачник.",1687
"   (-2) / Kimi to Boku. 2 / You and Me 2 [TV] [13  13] [JAP+Sub] [2012., , ть, школа WEBRip],  WEBRip]",,,1688
"   /    / Acchi Kocchi [TV+Special][12+1  12+1][JAP+Sub][2012, , , ть, BDRip], BDRip]","комедия, романтика, повседневность","В самом обычном японском городке в самой обычной старшей школе учатся самые обычные японские ребята. Цумики Минива настоящая цундэрэ – слишком зажата и серьезна, чтобы признать свои чувства, слишком вспыльчива, чтобы спокойно слушать шутки окружающих. Объект ее интереса одноклассник Ио Отонаси – парень очкастый, спокойный и себе на уме, сознательно занял позицию «второй скрипки». В итоге давление растет, но никто не смеет переступить черту. Вот такая вышла парочка. И как ее прикажете расшевелить?",1689
"  / Walkure Romanze ( ) [TV] [12  12] [RUS(ext), JAP+Sub] [2013, , , BDRip]","романтика, этти",,1690
"  / Divergence Eve ( ) [TV] [13  13] [JAP, ENG+Sub] [2003, ,, , , DVDRip]","приключения, драма, фантастика, ужасы","В 2300 году с открытием «Моста» в искривленном пространстве стало возможным путешествие за пределы Солнечной Системы при помощи гиперсветового ID-двигателя. В глубоком космосе, на расстоянии десяти парсеков от Земли, находится станция «Гнездо смотрящего», обеспечивающая работу ID-двигателей на данном направлении. Курэха Мисаки, новичок в рядах специальной организации, также известной как «Серафим», после окончания курса подготовки в пределах Солнечной Системы достигла своего пункта назначения, станции «Гнездо смотрящего», вместе с тремя другими курсантками - Сюзанной, Лусандорой и Кири. Однако вместо приветствия они столкнулись с вторжением «гулей» - отвратительных существ из параллельной вселенной, пришедших через «Мост». © Qwerty, World Art",1691
" -   / Elf Princess Rane ( ) [OVA][2  2][][JAP+Sub]1996 ., , ,","комедия, приключения","В оригинале известная, как ""FAIRY PRINCESS REN"", данная Футуристическая сказочка повествует об охотнике за сокровищами и его партнёрше, миленькой эльфийке Rane, находящихся в поиске места захоронения древних сокровищ. Бесспорно, охотник должен столкнуться со своими троими сёстрами - близняшками, своим богатым соседом, который им сильно увлекается, а так же ведьмой-эльфийкой, имеющей желание убить Rane и со странным промышленным проектом, каким то образом связанным с сокровищами.",1692
"  ия, Ниномия-кун 01-12 из 12 [RAW+RUS+JAP+Sub] / Goshuushou-sama Ninomiya-kun (Ёсикава Кодзи) [2007, комедия, романтика, сёнэн, TVRip], - 01-12  12 [RAW+RUS+JAP+Sub] / Goshuushou-s ) [2007, , , , TVRip]","комедия, романтика, сёнэн","Ниномия-кун, весьма моральноустойчивый молодой человек, настолько устойчивый, что на него не действует даже сила молоденькой девушки-суккуба, не умеющей эту силу контролировать и к тому же страдающей боязнью мужчин. Не то, что б он сильно хочет, однако лечить от этой боязни ему её придётся.",1693
"  / Kaze no You ni [Movie] [JAP+Sub] [2016, ть, драма, DVDRip], , DVDRip]","повседневность, драма","Сампэй — мальчик-пчеловод, встречает Тиё, девочку, которую ужалила пчела, и начинает новую жизнь в её деревне.",1694
"! / Ontama! ( ) [ONA][1-5  5][RUS(int), JAP+Sub] [2009, ,",приключения,"История про девочку, у которой добрая мама, но злюка отчим, а тут ещё какой-то фей появляется, представляется её ангелом-хранителем и говорит, что исполнит её сокровенное желание... а оно у неё есть - увидеть папу и маму, когда те были вместе. Да нет проблем! И каково же было удивление её отца, когда из яйца, из которого он собирался себе сделать яишницу, как по волшебству (Гудини, и тот бы позавидовал) вылупляется девочка.",1695
"!  ! / Kingyo Chuiho! / Goldfish Warning! [Movie] [JAP+Sub] [1992, , , DVDRip]","Комедия, школа",Современная Япония.,1696
": ! / Haiyoru! Nyaru-Ani [ ][OAV][9  9][JAP+Sub][2010., ., DVDRip]",,,1697
"  OVA / IS: Infinite Stratos Encore - Koi ni Kogareru Rokujuusou ( ) [OVA] [RUS(ext), JAP+Sub] [2011, ,, , BDRip]","приключения, комедия, фантастика","В ""Небесной академии"" тоже бывают каникулы...",1698
"    / Aoki Ryuusei SPT Layzner [TV] [10  38] [JAP+Sub] [1986, ,, , TVRip]","приключения, фантастика, меха","Это альтернативная история, холодная война между СССР и Америкой, действие начинается на Марсе, в советской базе по подготовке детей к предстоящим военным действиям, на которую нападают инопланетяне империи Градос.",1699
"  / Kamigami no Asobi ( ) [TV] [12  12] [JAP+Sub] [2014, , , , WEBRip]",,,1700
"     / Kimi no Iru Machi ( ) [OVA] [2  2] [RUS(int), JAP] [2012, , DVDRip]",,,1701
",     () / Kimi no Iru Machi / A Town Where You Live [TV] [12  12] [RUS(int), JAP+Sub] [2013, , BDRip]",романтика,"17-летний Харуто Кирисима, простой школьник из приморской глубинки, окончательно потерял покой. Несколько месяцев назад девушка по имени Юдзуки Эба сбежала из шумного мегаполиса на родину отца и поселилась в семье Кирисима, его давних знакомых. Столичная красавица не потерялась среди чужих людей, а сумела излечить наследника рода от застенчивости и детской любви, взамен прочно завладев его сердцем. Увы, Юдзуки растаяла «как сон, как утренний туман», вернувшись домой и, похоже, забыв о недолгих отношениях. Однако деревенские ребята так просто не сдаются! Они долго запрягают, но быстро ездят, и вот главный герой уже в Токио, чтобы найти любимую и забрать ее в родную Хиросиму!",1702
"- / Mai-Otome Zwei ( ) [OVA][4  4][RUS(ext),JAP,, , , BDRip]","приключения, комедия, фэнтези, этти","Минул год после разгрома Артая и Шварца, освобождения Цветка Ветра и других событий ТВ-сериала «Май-Отомэ». Отомэ не приняли революцию, предложенную Мию, предпочитая сохранить верность своим мастерам и продолжать служение людям Эрла. И очень скоро их услуги вновь понадобились – к планете устремился крупный астероид. После неудачи передовых технологий, Арика - сильнейшая Отомэ всех времен – просто разносит небесный камень ударом в лоб. Все было бы хорошо, но осколок астероида активирует древнюю сущность – врага всего живого на планете. Атакован Галдероб, исчезает Черная Долина, лучшие бойцы обращаются в камень, Арика теряет силу, и на Эрле понемногу воцаряется хаос…",1703
"-  / Mai-Otome DVD-Specials 9] [JAP+Sub] [2006, , ,DVDR","комедия, фэнтези.",,1704
"  -  / Tales of Phantasia - The Animation ( ) [2004, , ,, DVDRip]","фэнтези, приключения, сёнэн","Экранизация небезызвестной игры 1995 года, вышедшей на SNES. Смотреть советую в первую очередь тем, кто, собственно, кто в эту игру и играл. Хорошая рисовка, достаточно неплохой, адаптированый под аниме, сюжет, очень качественная музыка (как это собственно и было в самой игре). Вобщем, для аниме подобного жанра всё очень даже неплохо, смотреть приятно.",1705
"  / Prism Mergical ~Prism Generations! ) [OVA][RUS(int),JAP, , DVDRip]","комедия, этти","На основе хентайной игры компании Pajamas Soft. Выпущено как бонус к игре. Приключения Химе, Юри и Ибуки на горячих источниках.",1706
" - ца снов / Yumekui Merry / Dream Eater Merry (Ямаути Сигэясу) [TV] [13 из 13] [JAP+Sub] [2011, приключения, HDTVRip]  / Yumekui Merry / Dream Eater Merry ( ) [TV] [13  13] [JAP+Sub] [2011, ,",приключения,"Фудзивара Юмедзи. Ничем не примечательный юноша… По идее. Был. Когда-то. Непримечательным. В возрасте 7 лет, он открыл для себя странную силу… Силу видеть ауру снов. Он может узнать какой сон снился человеку, по этой ауре… С некоторой вероятностью успеха. Да уж, есть куда развиваться… Впрочем, один тип снов Юмедзи может узнать всегда. Один. Единственный. Непохожий на остальные. Да. Кошмар. Ночной кошмар. Сон, чёрный как смоль.",1707
" -а Таруто / Mahou Shoujo Neko Taruto (Сунага Цукаса) [TV][12 из 12][JAP+Sub][2001, Комедия, Фэнтези, Махо-Сёдзё, DVDRip]  / Mahou Shoujo Neko Taruto ( ) [TV][12  12][JAP+Sub][2001, , , -, DVDRip]","Комедия, Фэнтези, Махо-Сёдзё",r/>,1708
" ,  / Hime-sama Goyoujin [TV] [12  12] [JAP + Sub] [2006, , , DVDRip]","Комедия, пародия","Химеко Цубаки - обычная школьница, которая до смерти боится иностранных языков и иностранцев. Однажды, она врезается в пару воров по имени Лесли и Карэн. Она случайно берет одну из их сумок, содержащих волшебную корону. Размещение короны на ее голове волшебно превратит ее в принцессу, и в конечном счете выполняет все ее пожелания.",1709
"   / Zero s Familiar (Iwasaki Yoshiaki) [TV] [13  13] [RUS(int), JAP+Sub] [2006, ,, , , TVRip]","приключения, комедия, фэнтези, романтика","Луиза - маг и по совместительству большая неудачница, за что и получила кличку - «Нолька». Она учится на 2-ом курсе, который широко известен призванием «подручного» - некоева существа, что наделяется дополнительной силой вдобавок к основным. После заключения контракта подручный полностью в распоряжении хозяина, и они вместе навсегда. Но Нолька вызвала... парня из другого мира...
",1710
"     /    / Toaru Hikuushi e no Koiuta / The Pilot's Love Song ( ) [TV] [13  13] [JAP+Sub] [2014, ,, , WEBRip]",,,1711
"   / Sirius no Densetsu / The Legend of Sirius ( ) [Movie][JAP+Sub] [1981, , , , DVDRip]","романтика, сказка, драма",,1712
"    / Kyoshiro to Towa no Sora / Kyoshiro and the Eternal Sky [Special] [6  6] [JAP+Sub] [2007, ,, , , DVDRip]","Приключения, романтика, драма, фэнтези","Юная Ку Сиратори готовится к школьному фестивалю. Это будет потрясающий день: ярмарка, представления, фейерверки - и настоящий бал. Выбрать пару для такого случая – самая важная задача для старшеклассницы, но Ку не в силах найти подходящий объект. Она скромна, робка, неуверенна в себе; единственный мужчина в ее жизни – это принц из детских фантазий. Ему, пригрезившемуся принцу, Ку пишет письма, с ним советуется и ведет мысленные беседы.",1713
" :   / Kiss Dum: Engage Planet /   ( ) [26  26] [JAP+Sub] [2007, ,, , , TVRip]","приключения, фантастика, меха, драма",2031 - й год.,1714
"  / Starry Sky [ONA] [26  26] [RUS(int), JAP+Sub] [2010, , , , WEBRip]","романтика, школа, сёдзё","В сельской глубинке Японии, вдали от цивилизации раскинулась уникальная академия Сэйгацу, где старшеклассники помимо обычных предметов глубоко изучают астрономию и астрологию. Профессия эта во все времена считалась мужской, потому Сэйгацу задумывалась и оставалась привилегированной школой для мальчиков - до недавнего времени. Ныне же в академии появилась первая ученица, 17-летняя Цукико Яхиса, так же горячо любящая звездное небо, как и любой из ее одноклассников. А кому еще, как не единственной в школе девушке – умной, доброй, симпатичной, да еще коллеге по увлечению – могут поведать тайны своего сердца окружающие юноши, разумеется, все красавцы и большие таланты со сложной и тернистой судьбой?",1715
"  ( ) / Sergeant Keroro Movie 3 / Keroro Gunsou Movie 3 [Movie] [JAP+Sub] [2008, ,, , DVDRip]",,,1716
"  ( ) / Sergeant Keroro Movie 2 / Keroro Gunsou Movie 2 [Movie] [JAP+Sub] [2007, ,, , DVDRip]",,,1717
"  / Sergeant Keroro / Keroro Gunsou [Movie] [] [JAP+Sub] [2006, , , , DVDRip]","Комедия, Фантастика, Сёнен",описание взято с world-art.ru и касается СЕРИАЛА:,1718
":     / The Third ~Girl with the Azure Eyes~ ( ) [24  24] [RUS(int), JAP+Sub] [2006, ,, , TVRip]","приключения, фантастика, сёнэн","В отдалённом светлом будущем Земля превращена в пустыню, населённую мутировавшими насекомыми. Оставшееся население существует под началом Третьих - мутантов с красным третьим глазом во лбу. Все счастливы и довольны, а для остальных припасена армия солдат-роботов, которые вершат правосудие быстро и недорого. Главные герои - наёмница Хонока и танк с искусственным интеллектом Боги - встречают в пустыне необычного молодого человека... Вскоре выясняеться, что это не совсем человек, как впрочем и сама Хонока. И тут такое начинаеться...",1719
