Title,Жанры,Описание,img
"!!   / Bastard!! Ankoku no Hakai Shin [OVA] [6  6] [RUS(int), JAP+Sub] [1992, ,, , DVDRip]","приключения, комедия, фэнтези",,45
" –    / Future Boy Conan [TV] [26  26] [RUS(int)] [1978, , , , ,, BDRip]","фантастика, драма, комедия, приключения, семейный",,46
"   -    / Kareshi Kanojo no Jijou / Kare Kano / His and Her Circumstance ) [TV][26  26][RUS(ext), JAP+Sub][1998, , , , , DVDRip]","романтика, комедия, драма, сёдзё","Юкино Миядзава – идеальная ученица: умная, добрая, спортивная, всё дается ей легко и без напряжения. Но это только фасад - на деле Юкино ведет двойную жизнь, дома регулярно превращаясь в зануду и очкастую зубрилку. Нельзя лицемерить вечно, и броня Юкино дает трещину, когда в старшей школе на ее пути возникает Сойтиро Арима – парень еще более талантливый и близкий к идеалу. Стоило подпустить соперника слишком близко – и Сойтиро узнает тайну Юкино, а, получив над ней власть, по уши заваливает работой в школьном совете. Вот только «рабыня поневоле» вскоре понимает – Арима не монстр, а такой же лицемер, как она, только жизнь побила его куда сильнее.",47
"   2:  / Innocence (  / Mamoru Oshii) [Movie] [RUS(int)] [2004, , , , , , BDRip]","фантастика, фэнтези, боевик, триллер, драма",,48
"  (-1) / Fullmetal Alchemist / Hagane no Renkin Jutsushi [TV] [51  51] [RUS(int), JAP+Sub] [2003, ,, , , DVDRip]","приключения, фэнтези, драма, сёнэн",,49
"    / Fushigi no Umi no Nadia / Nadia: Secret of Blue Water [Special] [10  10] [JAP+Sub] [1990, ,, , BDRip]","приключения, фантастика, романтика",10 коротких спешалов к оригинальному сериалу. Серии содержат дополнительную информацию о событиях и персонажах сериала.,50
"  / Lemon Angel (YJ Ban) [OVA] [2  2] [JAP+Sub] [1990, , , , LDRip]","комедия, романтика, эротика","Огава Медака, Рио Ота и Сатоми Йокота - обычные старшеклассницы, которые пытаются снять фильм для школьного фестиваля или заполнить капсулы времени, содержащие воспоминания о последних летних каникулах...",51
" / Eiji [Movie] [JAP+Sub] [1990, , , VHSRip]","комедия, спорт","Второй сын легендарного боксера Кеджиро Акаги. Хотя отец и старший брат профессиональные боксёры, Эйдзи просто ненавидит спорт. Но неожиданно начинает проявлять к нему интерес, когда встречает младшую сестру местного чемпиона.",52
"- ! / Eguchi Hisashi no Nantoka Narudesho! [OVA] [JAP+Sub] [1990, , LDRip]",комедия,"Эччи, наплевательство на любые понятия о приличиях, нападение монстра и его бабушки на полный поезд никому не нужной утренней толпы, тупые шутки про шутки, СПИД, а также немного невнятной романтики: what more could you ask for? Это одно из произведений, ни на что не похожих и не поддающихся осмыслению. Ты смотришь на экран и просто радуешься увиденному как в детстве, ни в чём не сомневаясь и строя крайне дурацкие рожи.",53
"   / Mainichi ga Nichiyoubi / Everyday is Sunday [OVA] [6  6] [JAP+Sub] [1990, , , , LDRip]","комедия, романтика, этти","Юми Такэсита - двадцатидвухлетняя выпускница полицейской академии, направленная на службу в свой родной тишайший округ Тавагото, где в последнее время, правда, объявился активно действующий вор-карманник. На первом же дежурстве Юми слышит крики о краже кошелька и, увидев бегующего мужчину, бросается в погоню и задерживает его. Однако мало того, что пойманный сам гнался за вором! По крестообразному шраму на его руке девушка узнаёт в нём незнакомца, который много лет назад спас ей жизнь, оттолкнув от нёсшегося грузовика, и о встрече с которым так долго мечтала. Желая загладить свою вину перед парнем, оказавшемся фокусником по профессии Тору Итидайдзи, Юми приглашает его в ресторан. И именно во время романтической прогулки они наталкиваются на того самого вора-карманника, совместными усилиями обезвреживая преступника. Так начинаются весёлые приключения очаровательной полицейской Юми и добродушного фокусника Тору...",54
"  . «» / Fujiko Fujio A no Mumako [Special] [JAP+Sub] [1990, ,",приключения,"Анимационная работа, которую можно кратко охарактеризовать как: «Стивен Кинг для детской аудитории».",55
"  (-2) / Fullmetal Alchemist: Brotherhood / Hagane no Renkinjutsus 64+4+16] [JAP+Sub] & [47+4  64+4] [RUS(ext)] [2009, ,, , , BDRip]","приключения, фэнтези, драма, сёнэн","Нарушив главный запрет Алхимии и попытавшись воскресить маму, талантливые братья Элрики заплатили высокую цену: младший, Альфонс, потерял тело, и теперь его душа прикреплена к стальным доспехам, а старший, Эдвард, лишился руки и ноги, поэтому ему приходится пользоваться протезами – автобронёй. Благодаря проявленным способностям Эд получил звание государственного алхимика и, таким образом, стал частью военной машины государства. Теперь у него есть шанс вернуть Алу прежнее тело. Впереди странствия и приключения, разгадки страшных тайн и бесконечные сражения…",56
"  - / Be-Bop Highschool /   - / Be-Bop High School [OVA] [7  7] [JAP+Sub] [1990, , DVDRip]",Комедия,"Для двоих хулиганистых задир Хироши и Тору обычные школьные будни мало связаны с учёбой. Кому нужна эта скукота? Завести себе подружку — вот действительно важная цель, с которой никак не сравнится получение образования. Проблемы? Нет, эти парни не знают такого слова. Возникли какие-то вопросы? Решение всегда найдётся — ведь пара железных кулаков всегда при них. Они обожают искать приключения на свои пятые точки, и если они не могут найти их, то неприятности всегда найдут их сами. Разве можно стерпеть брошенный на тебя косой взгляд? Конечно же, нет! «Да, этот чувак просто нарывается на драку!» А значит, надо показать ему, и всем сомневающимся заодно, что они связались не с теми парнями. Чего бы это ни стоило!",57
" -  ,    / Pink Mizu Dorobou Ame Dorobou / Pink - Water Thieves Rain Thieves [Movie] [JAP+Sub] [1990, ,, VHSRip]","приключения, комедия","История о молодой девушке по имени Пинк, бандите в пустыне, которая крадет воду у Серебряной компании.",58
"  / Ikenai Boy [OVA] [JAP+Sub] [1990, , , VHSRip]","комедия, эротика","Эччи-комедия. История повествует о Камикаве Сеичи, который всеми силами стремится идти по стопам отца, и изучив шиатсу, открывает собственную практику. Однако зарабатывать ему приходится не совсем массажем... Придя как-то к отцу после ""исцеления"" одной из пациенток, и жалуясь на свою сомнительную работу, Сеичи узнает, что шиатцу - это всего лишь прикрытие истинной работы отца, а сам он теперь является наследником древней техники под названием... Говоря проще - ""лечение фригидности"".",59
" :   / Fukuyama Gekijou: Natsu no Himitsu [OVA] [JAP+Sub] [1990, ,",приключения,"OVA-шка основана на манге Фукуямы Кейко, отсюда и название - ""Театр Фукуямы: летний секрет"". Являет собой сборник клипов и коротких историй, представленных как рассказы из книжки, которую мышиная семья читает перед сном. Всего 8 историй (4 музыкальных и 4 повествовательных) плюс морской эндинг (выгуливающая креветку на поводке русалко-медуза! ), плюс маленькая вставочка и сами мышки, открывающие и закрывающие ОВАшку.",60
"!   / Osu!! Karate Bu / Go!! Karate Club [OVA] [4  4] [] [JAP+Sub] [1990,  , , VHSRip]","Боевые искусства, Школа","Тадаши Мацушита только что поступил в Кансайское профессиональное техническое училище №5. Конечно, любое ПТУ — в основном, сборище отморозков, но учебное заведение, в которое попал герой - худшее из худших. Особо выделяется прилагающийся к училищу карате-клуб, по сути, являющийся светлым пятном на этой школе, и не дающий её ученикам окончательно сорваться с цепи. Изначально, Мацушита поступил в клуб просто чтобы вызывать уважение у остальных учеников, но познакомившись получше с его участниками, Мацушита больше не смог представить свою жизнь без великого и ужасного карате-клуба.",61
"  / Vampire Sensou / Vampire Wars [OVA] [ENG, JAP+Sub] [1990, ,, DVDRip]","приключения, фэнтези","В Сене в Париже выловлен труп агента ЦРУ. Связано ли это с нападением на базу НАСА в пустыне Аризона? Мсье Лазаар из француской разведки решает, что связь есть. Для добычи сведений он нанимает международного преступника, террориста и шпиона Кусаборо Куки. Куки узнает, что история как-то связана с кинозвездой Ламией. Она становится объектом слежки ЦРУ и таинственного культа современных вампиров. Распутает ли Куки это дело или станет еще одним утопленником в Сене?",62
